worker_id,average_monthly_income,income_volatility_percentage,expense_to_income_ratio,work_tenure_months,historical_default_risk
GIG_001,28227.32,23.39,0.6964,20,1
GIG_002,22448.97,7.98,0.6121,101,0
GIG_003,9492.29,13.98,0.6696,104,0
GIG_004,30458.92,5.47,0.6322,17,1
GIG_005,15502.44,16.64,0.4183,92,0
GIG_006,46306.51,5.0,0.6927,28,1
GIG_007,28040.34,22.74,0.5293,44,1
GIG_008,14699.45,26.18,0.7326,92,1
GIG_009,14645.72,28.68,0.7408,17,1
GIG_010,39440.86,23.94,0.7078,107,1
GIG_011,80000.0,18.3,0.4091,113,0
GIG_012,20914.24,18.89,0.892,55,0
GIG_013,35574.17,6.27,0.9382,2,1
GIG_014,16557.54,9.48,0.7231,44,1
GIG_015,18941.33,16.61,0.7587,112,1
GIG_016,24350.55,12.86,0.6156,91,1
GIG_017,21494.12,16.97,0.5504,99,0
GIG_018,21868.82,15.91,0.3677,88,1
GIG_019,10783.22,10.61,0.5105,72,0
GIG_020,24337.73,13.46,0.8556,104,1
GIG_021,9402.15,19.85,0.997,99,0
GIG_022,24374.23,13.15,0.4999,112,1
GIG_023,29768.73,5.0,0.3663,7,0
GIG_024,20863.12,13.86,0.51,10,0
GIG_025,29023.23,14.66,0.5413,57,0
GIG_026,24980.14,18.39,0.7585,53,1
GIG_027,35539.02,36.09,0.4925,119,1
GIG_028,41416.5,18.04,0.5177,30,0
GIG_029,34302.07,13.53,0.5206,36,0
GIG_030,33546.09,23.44,0.5307,103,0
GIG_031,31023.39,6.79,0.8836,47,0
GIG_032,20890.12,12.72,0.9375,36,1
GIG_033,8098.03,22.65,0.3496,45,0
GIG_034,15065.84,24.06,0.6144,26,1
GIG_035,28520.53,9.56,0.6503,96,1
GIG_036,80000.0,14.19,0.4555,70,0
GIG_037,12348.28,22.27,0.8474,23,1
GIG_038,22972.4,5.0,0.6533,120,1
GIG_039,12295.46,31.05,0.5471,61,1
GIG_040,18409.1,13.98,0.3985,12,1
GIG_041,17275.18,24.74,0.6157,72,1
GIG_042,20248.89,12.18,0.5209,97,0
GIG_043,22245.85,28.11,0.68,69,0
GIG_044,58787.71,10.74,0.7432,106,0
GIG_045,9528.17,5.15,0.5264,34,0
GIG_046,17633.76,5.0,0.5484,97,1
GIG_047,31619.75,32.28,0.5509,64,1
GIG_048,8967.93,21.69,1.0025,44,1
GIG_049,30269.11,28.72,0.5324,64,1
GIG_050,8000.0,8.76,0.5979,42,0
GIG_051,12751.87,5.0,0.5661,1,0
GIG_052,27536.01,7.88,0.8938,118,0
GIG_053,36346.17,11.56,0.7109,5,1
GIG_054,15919.83,8.04,0.5256,35,1
GIG_055,16977.1,27.82,0.8436,74,0
GIG_056,25545.51,18.35,0.4885,117,0
GIG_057,10795.86,30.65,0.9512,68,1
GIG_058,18411.32,5.0,0.4491,75,0
GIG_059,45800.37,13.29,0.7303,35,1
GIG_060,21424.31,6.58,0.659,73,1
GIG_061,16614.69,6.73,0.4643,48,1
GIG_062,19174.94,9.74,0.4287,8,1
GIG_063,22856.72,15.73,0.6388,120,1
GIG_064,19572.49,26.16,0.8142,53,1
GIG_065,14239.45,34.42,0.4288,19,0
GIG_066,17977.26,11.38,0.535,87,0
GIG_067,11743.58,8.21,0.915,89,0
GIG_068,33735.98,30.15,0.8264,30,1
GIG_069,34817.44,13.39,0.9584,26,1
GIG_070,21211.47,18.21,0.5857,30,1
GIG_071,24978.87,36.57,1.0358,73,1
GIG_072,38521.16,5.0,0.5267,40,0
GIG_073,8284.93,10.41,0.6785,1,0
GIG_074,25523.9,22.04,0.6032,110,0
GIG_075,38780.09,24.33,0.6454,60,1
GIG_076,24047.94,13.84,0.7951,96,0
GIG_077,12261.95,6.35,0.761,103,0
GIG_078,12846.64,5.0,0.7228,44,1
GIG_079,12523.82,21.19,0.7247,73,1
GIG_080,12454.06,20.71,0.9196,116,1
GIG_081,8000.0,15.14,0.6769,4,1
GIG_082,38557.72,17.95,0.5704,66,1
GIG_083,51524.98,30.03,0.435,101,0
GIG_084,18257.26,31.58,0.8479,19,1
GIG_085,80000.0,5.0,0.5941,1,0
GIG_086,39394.72,10.36,0.4624,22,0
GIG_087,26167.89,25.97,0.5604,49,1
GIG_088,34805.02,21.71,0.5603,75,1
GIG_089,19233.72,11.07,0.7619,14,1
GIG_090,8000.0,20.68,0.4257,72,1
GIG_091,29200.46,28.8,0.6667,97,1
GIG_092,53711.12,16.06,0.7712,79,0
GIG_093,21398.72,30.68,0.4822,16,1
GIG_094,31198.57,10.5,0.7812,12,1
GIG_095,21732.16,23.88,0.7969,69,1
GIG_096,8000.0,5.0,0.7159,115,0
GIG_097,30181.88,42.84,0.8653,84,1
GIG_098,15185.78,10.95,0.8753,76,1
GIG_099,44776.7,9.72,0.6154,112,1
GIG_100,23754.89,22.26,0.7041,84,1
GIG_101,23013.52,25.23,0.4656,39,1
GIG_102,21630.57,13.62,0.5151,83,1
GIG_103,35189.42,26.09,0.8209,81,1
GIG_104,27921.27,10.4,0.6959,13,1
GIG_105,13110.0,30.49,0.6396,104,0
GIG_106,13320.08,21.44,0.7878,86,1
GIG_107,8141.63,11.27,0.4726,85,1
GIG_108,48826.81,33.73,0.5906,33,1
GIG_109,19447.73,7.36,0.6862,53,1
GIG_110,44609.69,27.2,0.6612,85,0
GIG_111,14509.12,14.83,0.6646,64,0
GIG_112,25729.24,10.51,0.5804,77,1
GIG_113,11256.37,9.54,0.517,105,0
GIG_114,18630.11,13.74,0.6543,54,0
GIG_115,34700.22,27.79,0.4457,70,0
GIG_116,14376.39,12.71,0.5092,48,0
GIG_117,26715.59,22.22,0.7858,72,1
GIG_118,11332.42,17.16,0.5904,112,1
GIG_119,28410.38,5.41,0.6471,103,0
GIG_120,10416.21,33.19,0.7332,65,1
GIG_121,31660.08,13.63,0.8491,116,1
GIG_122,19730.68,5.0,0.7235,91,1
GIG_123,41751.31,12.75,0.9204,22,0
GIG_124,18919.89,20.99,0.7981,66,1
GIG_125,28180.48,22.9,0.6098,40,1
GIG_126,11601.37,7.04,0.6987,100,0
GIG_127,27797.23,35.27,0.5729,24,0
GIG_128,10610.53,38.02,0.8021,70,1
GIG_129,24696.91,33.01,0.7054,25,1
GIG_130,31333.65,34.72,0.7858,106,1
GIG_131,14921.45,6.56,0.8725,25,1
GIG_132,35285.1,7.79,0.7546,80,1
GIG_133,33859.68,32.23,0.5088,70,1
GIG_134,17700.55,9.5,0.3089,35,1
GIG_135,20544.93,5.17,0.8526,34,1
GIG_136,17831.51,31.08,0.5869,4,0
GIG_137,23802.63,29.66,0.7127,96,1
GIG_138,47804.86,10.16,0.8835,106,1
GIG_139,19033.06,16.67,0.7815,65,1
GIG_140,39541.86,16.05,0.6055,72,1
GIG_141,8000.0,28.96,0.5055,21,0
GIG_142,17326.51,20.12,0.5888,108,0
GIG_143,29689.58,9.95,0.514,30,1
GIG_144,12034.43,9.41,0.8247,67,1
GIG_145,11140.21,21.75,0.9293,21,1
GIG_146,31934.75,7.92,0.4548,58,0
GIG_147,22308.88,24.45,0.5665,51,1
GIG_148,19145.66,19.13,0.6826,91,0
GIG_149,18728.07,6.63,0.6311,64,0
GIG_150,22666.89,17.5,0.673,31,1
GIG_151,19653.72,10.85,0.923,17,1
GIG_152,14625.72,12.08,0.766,29,1
GIG_153,48716.3,31.37,0.5611,21,1
GIG_154,43743.67,12.38,1.0427,90,0
GIG_155,20883.76,33.33,0.546,28,1
GIG_156,17892.66,13.92,0.6627,59,1
GIG_157,40131.53,14.88,0.4802,35,0
GIG_158,24398.26,5.0,0.6562,78,0
GIG_159,31832.71,33.57,0.7388,24,0
GIG_160,16793.79,20.99,0.4753,84,0
GIG_161,47333.01,22.28,0.7725,63,1
GIG_162,46469.24,17.58,0.6527,115,0
GIG_163,30744.72,22.16,0.9063,35,1
GIG_164,31438.14,10.1,0.3755,93,0
GIG_165,13934.51,5.0,0.4494,98,0
GIG_166,20948.59,31.25,0.703,62,0
GIG_167,33650.45,14.37,0.7186,109,0
GIG_168,48724.77,12.94,0.5597,53,0
GIG_169,10135.88,18.62,0.4238,13,1
GIG_170,17664.96,18.78,0.7447,106,1
GIG_171,55507.32,5.96,0.706,112,0
GIG_172,24335.09,12.17,0.4905,21,1
GIG_173,22362.8,21.85,0.7287,41,1
GIG_174,18109.97,5.0,0.6682,76,0
GIG_175,21525.8,14.52,0.9054,103,0
GIG_176,21454.01,6.4,0.5338,56,0
GIG_177,13545.61,49.43,0.9258,82,1
GIG_178,23302.63,10.47,0.9465,37,0
GIG_179,64127.0,34.44,0.6559,114,0
GIG_180,16869.11,19.48,0.6955,41,1
GIG_181,36802.84,8.34,0.5892,44,0
GIG_182,17634.83,10.66,0.5709,83,0
GIG_183,19097.61,7.85,0.7259,36,1
GIG_184,19745.32,12.2,0.6834,71,0
GIG_185,11583.34,5.0,0.5955,96,0
GIG_186,12459.25,42.57,0.5941,100,1
GIG_187,33315.24,5.0,0.8035,71,1
GIG_188,32833.34,20.52,0.5691,51,1
GIG_189,27482.13,17.9,0.6615,82,0
GIG_190,36375.72,25.62,0.703,48,0
GIG_191,19976.95,5.0,0.869,59,1
GIG_192,56193.52,13.17,0.8221,90,0
GIG_193,17655.27,32.95,0.4016,86,0
GIG_194,31919.5,21.32,0.8121,35,0
GIG_195,25274.71,19.19,0.6569,89,1
GIG_196,40942.22,11.98,0.5513,60,1
GIG_197,22081.67,12.99,0.63,114,1
GIG_198,21016.26,10.26,0.3969,11,0
GIG_199,8000.0,38.65,0.5647,113,1
GIG_200,14229.29,15.59,0.7009,88,1
GIG_201,30478.75,26.66,0.8023,97,0
GIG_202,20609.4,27.97,0.4747,66,0
GIG_203,22565.25,16.07,0.8768,108,1
GIG_204,22479.04,9.4,0.4446,33,0
GIG_205,29878.06,31.16,0.7488,29,1
GIG_206,42192.51,26.17,0.5912,107,1
GIG_207,45684.05,25.56,0.5929,84,0
GIG_208,49252.64,20.48,0.5351,8,0
GIG_209,25794.27,22.27,0.5709,99,0
GIG_210,13512.78,27.97,0.8193,81,1
GIG_211,10959.7,22.59,0.4374,61,1
GIG_212,11886.27,12.49,0.5831,32,0
GIG_213,56166.65,31.73,0.8135,51,1
GIG_214,11667.75,15.49,0.6112,50,1
GIG_215,13363.41,8.14,0.519,15,1
GIG_216,10157.87,17.59,0.6757,99,1
GIG_217,51794.78,34.72,0.7891,31,1
GIG_218,22585.74,17.31,0.5712,30,0
GIG_219,27009.14,19.52,0.4287,29,1
GIG_220,25729.51,10.47,0.5539,79,0
GIG_221,19978.04,16.37,0.4224,19,1
GIG_222,9417.17,12.89,0.7665,54,0
GIG_223,15519.22,15.29,0.7453,97,0
GIG_224,50362.45,9.71,0.6325,47,0
GIG_225,34841.74,10.23,0.6922,112,0
GIG_226,15862.13,38.19,0.6972,102,0
GIG_227,31756.55,10.59,0.6174,104,0
GIG_228,48120.39,28.14,0.7557,9,1
GIG_229,23058.47,21.38,0.714,62,0
GIG_230,21408.62,12.76,0.703,21,1
GIG_231,18426.59,15.74,0.5492,13,0
GIG_232,30178.44,9.96,0.5362,104,0
GIG_233,42134.76,38.42,0.8675,86,0
GIG_234,22799.83,37.4,0.7128,53,0
GIG_235,51265.52,10.3,0.5843,77,0
GIG_236,13282.67,5.0,0.5966,39,0
GIG_237,17909.49,5.0,0.8608,26,0
GIG_238,19380.17,8.54,0.8314,119,0
GIG_239,23928.09,12.14,0.6005,6,1
GIG_240,12670.52,30.25,0.4309,22,1
GIG_241,27026.02,12.8,0.3799,100,0
GIG_242,19107.6,20.5,0.7415,76,0
GIG_243,18672.7,14.12,0.6746,78,1
GIG_244,22092.82,5.0,0.8976,59,1
GIG_245,29391.81,10.68,0.7801,97,0
GIG_246,24741.24,9.63,0.6017,20,0
GIG_247,13226.11,28.2,0.5888,96,1
GIG_248,12405.18,8.83,0.3,39,0
GIG_249,29595.86,20.79,0.6623,59,1
GIG_250,12754.39,12.33,0.5292,78,0
GIG_251,28716.51,19.15,0.6112,96,0
GIG_252,21138.19,11.74,0.6889,79,0
GIG_253,62683.4,29.3,0.5862,23,0
GIG_254,40016.67,19.89,0.6854,35,0
GIG_255,26515.29,16.86,0.6468,39,0
GIG_256,16422.25,5.0,0.58,55,1
GIG_257,53242.59,19.27,0.7112,16,0
GIG_258,21352.47,7.05,0.8972,105,0
GIG_259,33477.11,28.15,0.497,54,1
GIG_260,58512.09,17.27,0.4613,35,0
GIG_261,13772.65,8.69,0.6688,113,1
GIG_262,11525.73,22.87,0.6109,68,1
GIG_263,16440.03,24.32,0.6775,33,1
GIG_264,19166.39,5.0,0.8789,14,0
GIG_265,31699.07,19.42,0.9794,114,0
GIG_266,18868.39,39.12,0.8622,6,0
GIG_267,19388.12,26.4,0.816,17,1
GIG_268,29999.09,18.36,0.7947,73,0
GIG_269,30998.83,16.14,0.4747,21,1
GIG_270,43670.97,18.53,0.6957,16,1
GIG_271,9777.41,13.63,0.6054,77,0
GIG_272,8000.0,5.0,0.6221,44,1
GIG_273,16961.86,29.06,0.4656,24,0
GIG_274,16356.76,32.87,0.7306,95,1
GIG_275,9509.39,5.0,0.8379,17,0
GIG_276,43781.59,5.0,0.9504,1,1
GIG_277,29097.89,19.11,0.9042,99,1
GIG_278,27436.83,12.83,0.5356,87,1
GIG_279,76352.61,8.21,0.5681,95,0
GIG_280,10161.69,23.75,0.5902,85,1
GIG_281,9751.96,11.64,0.6285,61,1
GIG_282,17965.1,10.91,0.713,117,0
GIG_283,23342.82,17.49,0.6872,91,0
GIG_284,16883.11,13.12,0.605,41,1
GIG_285,40031.24,23.72,0.5984,22,0
GIG_286,73879.21,41.92,0.6378,8,1
GIG_287,24056.88,26.94,0.6756,109,0
GIG_288,48234.23,23.47,0.6837,77,1
GIG_289,30684.17,20.49,0.3639,39,1
GIG_290,32032.8,27.98,0.8335,106,0
GIG_291,21083.87,5.0,0.7723,44,0
GIG_292,23750.27,7.33,0.3744,9,0
GIG_293,12742.47,18.7,0.8168,102,0
GIG_294,8000.0,14.18,0.5511,11,1
GIG_295,21574.56,10.45,0.511,42,1
GIG_296,15224.96,16.58,0.73,87,1
GIG_297,56020.58,38.62,0.5427,73,1
GIG_298,35035.14,11.27,0.8052,74,0
GIG_299,16431.04,5.0,0.6354,105,1
GIG_300,20516.76,29.85,0.813,35,1
GIG_301,43069.51,5.0,0.6503,95,0
GIG_302,18242.19,18.82,0.7283,86,0
GIG_303,17199.16,20.07,0.5923,120,0
GIG_304,20655.33,12.32,0.7501,13,1
GIG_305,14927.19,20.03,0.7396,79,1
GIG_306,17375.49,7.92,0.5472,85,0
GIG_307,19864.01,9.86,0.6621,31,0
GIG_308,24531.02,8.2,0.8467,119,0
GIG_309,13137.29,8.64,0.6231,48,0
GIG_310,22987.72,13.87,0.6684,35,1
GIG_311,32247.82,11.87,0.4923,56,0
GIG_312,23849.44,9.64,1.074,79,1
GIG_313,18148.73,16.17,0.7358,90,1
GIG_314,18434.61,29.11,0.5958,113,1
GIG_315,44753.21,20.3,0.646,1,1
GIG_316,30505.67,36.15,0.771,68,1
GIG_317,16576.6,18.04,0.6753,60,0
GIG_318,47130.1,23.13,0.6961,119,0
GIG_319,15021.28,21.73,0.8992,100,1
GIG_320,32110.87,25.33,0.7834,2,1
GIG_321,14939.01,18.07,0.7928,63,0
GIG_322,25685.42,13.54,0.6384,46,1
GIG_323,38048.57,21.33,0.7798,2,1
GIG_324,18622.67,31.59,0.5229,70,1
GIG_325,20749.68,13.08,0.9103,70,1
GIG_326,13614.51,7.34,0.7638,59,1
GIG_327,12285.49,12.42,0.6812,71,1
GIG_328,73778.38,12.85,0.8751,71,1
GIG_329,13304.63,5.0,0.652,75,1
GIG_330,19792.55,28.03,0.7816,17,1
GIG_331,24407.69,22.2,0.5312,69,0
GIG_332,22959.83,15.69,0.9128,118,0
GIG_333,26251.66,6.02,0.5046,103,0
GIG_334,21904.43,14.87,0.5188,118,0
GIG_335,27349.84,5.0,0.5946,23,0
GIG_336,22174.95,8.56,0.8081,98,0
GIG_337,24962.36,9.38,0.5394,83,1
GIG_338,21007.95,27.84,0.8321,30,1
GIG_339,38237.52,21.42,0.7039,78,1
GIG_340,21265.65,7.87,0.5725,107,0
GIG_341,15113.88,22.39,0.611,86,0
GIG_342,27610.09,14.42,0.6962,15,1
GIG_343,13334.94,16.0,0.4616,36,0
GIG_344,18060.76,15.07,0.4559,44,0
GIG_345,24227.66,7.08,0.5429,91,0
GIG_346,14910.22,21.44,0.6234,47,1
GIG_347,19590.33,30.13,0.4862,102,0
GIG_348,25903.58,13.16,0.5695,53,0
GIG_349,22376.77,23.74,0.6396,101,0
GIG_350,19202.5,18.59,0.8593,33,1
GIG_351,25044.44,31.45,0.6551,106,1
GIG_352,10512.35,23.06,0.6116,36,0
GIG_353,24618.3,24.14,0.65,10,1
GIG_354,32375.98,20.52,0.8882,119,1
GIG_355,14192.93,5.45,0.6084,65,1
GIG_356,33648.63,26.89,0.643,94,1
GIG_357,29128.4,7.44,0.8405,76,0
GIG_358,24758.02,11.75,0.7046,84,1
GIG_359,37378.96,5.0,0.5768,60,0
GIG_360,12160.47,18.82,0.5447,11,1
GIG_361,24804.61,14.8,0.6972,26,0
GIG_362,39257.43,23.77,0.3798,27,1
GIG_363,12188.23,26.24,0.638,71,1
GIG_364,46168.74,31.67,0.6293,23,1
GIG_365,46566.42,9.65,0.9742,39,1
GIG_366,8757.06,27.39,0.5077,69,1
GIG_367,23283.26,27.43,0.7365,115,0
GIG_368,31578.87,5.14,0.6186,109,0
GIG_369,15722.25,19.16,0.456,94,0
GIG_370,13820.52,6.58,0.6235,115,0
GIG_371,15811.01,23.97,0.4547,94,1
GIG_372,25533.71,30.82,0.3239,103,0
GIG_373,33400.3,16.99,0.7396,50,1
GIG_374,23587.81,29.8,0.6707,74,1
GIG_375,54282.18,5.5,0.7288,51,0
GIG_376,26697.96,16.64,0.7876,55,1
GIG_377,27320.4,16.18,0.6358,56,1
GIG_378,15831.45,27.5,0.6716,5,1
GIG_379,13070.69,30.57,0.5601,77,1
GIG_380,14704.02,8.29,0.5491,71,0
GIG_381,17797.45,14.68,0.8256,20,1
GIG_382,32374.91,9.64,0.4948,112,0
GIG_383,19491.49,13.54,0.5611,21,0
GIG_384,8000.0,9.03,0.6899,45,0
GIG_385,45979.13,17.37,0.5623,52,0
GIG_386,48570.53,11.59,0.8099,31,1
GIG_387,11071.43,5.0,0.6381,1,1
GIG_388,16971.46,21.19,0.6713,41,1
GIG_389,14055.02,15.67,0.5878,11,0
GIG_390,16179.06,5.0,0.4482,13,0
GIG_391,19194.31,28.37,0.5756,80,0
GIG_392,14731.65,16.41,0.4597,67,0
GIG_393,22137.88,23.01,0.3,53,1
GIG_394,8000.0,21.06,0.5224,80,1
GIG_395,10956.79,8.16,0.5737,27,0
GIG_396,16644.79,35.35,0.4208,49,1
GIG_397,11313.51,23.19,0.6204,24,1
GIG_398,14328.88,15.74,0.4946,98,1
GIG_399,17819.34,5.0,0.6977,40,1
GIG_400,18319.18,5.82,0.8671,58,1
GIG_401,22411.13,28.71,0.7083,90,0
GIG_402,8000.0,25.53,0.6281,50,0
GIG_403,16443.77,28.54,0.7768,66,1
GIG_404,21548.0,20.92,0.477,73,1
GIG_405,20599.72,13.68,0.6487,60,0
GIG_406,11831.49,14.49,0.388,75,0
GIG_407,20487.53,8.82,0.8981,58,0
GIG_408,16082.51,8.85,0.5627,42,0
GIG_409,27055.98,17.47,0.4685,4,0
GIG_410,19379.98,7.96,0.8626,73,1
GIG_411,17961.92,20.67,0.6364,55,1
GIG_412,16692.58,14.44,0.7456,106,0
GIG_413,16906.03,8.65,1.0125,102,1
GIG_414,34476.42,8.82,0.3647,46,1
GIG_415,16211.03,7.98,0.538,57,1
GIG_416,17827.57,19.16,0.5889,58,1
GIG_417,8000.0,5.0,0.4806,55,1
GIG_418,9705.23,16.24,0.8818,89,1
GIG_419,10335.86,16.21,0.6321,9,1
GIG_420,21578.06,11.11,0.5269,69,0
GIG_421,20856.98,12.72,0.7803,74,1
GIG_422,8000.0,11.1,0.4902,62,1
GIG_423,24762.13,25.18,0.7956,103,1
GIG_424,14452.77,9.27,0.7104,44,0
GIG_425,11669.92,12.49,0.7916,94,1
GIG_426,10319.09,27.63,0.675,81,1
GIG_427,41065.92,22.33,0.4711,27,1
GIG_428,8000.0,21.87,0.6002,94,0
GIG_429,32333.86,22.08,0.727,114,0
GIG_430,38269.46,19.94,0.5364,114,0
GIG_431,15641.25,15.68,0.518,105,0
GIG_432,34673.35,19.33,0.7288,16,1
GIG_433,17826.17,32.95,0.682,86,0
GIG_434,26771.33,13.44,0.6872,105,0
GIG_435,20312.34,20.27,0.8472,18,1
GIG_436,16537.19,13.42,0.6113,29,0
GIG_437,19935.08,17.0,0.5176,81,1
GIG_438,41264.3,28.37,0.6303,49,0
GIG_439,23530.03,17.11,0.5817,84,0
GIG_440,22534.49,24.89,0.7624,48,0
GIG_441,28700.59,13.86,0.7186,17,1
GIG_442,13191.56,33.62,0.8429,8,1
GIG_443,38936.85,7.46,0.7055,113,1
GIG_444,14772.83,34.48,0.7325,112,1
GIG_445,43822.16,41.31,0.8186,2,1
GIG_446,23748.91,30.52,0.7688,3,1
GIG_447,11128.73,13.89,0.8099,113,1
GIG_448,21893.49,6.69,0.4735,67,0
GIG_449,10594.73,21.68,0.5943,97,1
GIG_450,33497.63,23.86,0.6127,86,0
GIG_451,22755.03,32.16,0.7267,32,1
GIG_452,14747.69,12.55,0.6075,23,1
GIG_453,63383.45,7.15,0.6364,35,0
GIG_454,20970.18,19.09,0.4538,59,0
GIG_455,21928.44,26.67,0.6284,1,0
GIG_456,13528.56,26.37,0.8486,78,0
GIG_457,22070.53,15.18,0.5457,55,0
GIG_458,23533.67,5.0,0.789,20,0
GIG_459,11420.49,31.38,0.4993,52,0
GIG_460,60942.82,34.23,0.7448,25,1
GIG_461,20074.74,24.7,0.6228,3,1
GIG_462,11451.97,22.2,0.4623,24,1
GIG_463,39458.42,16.94,0.5736,118,0
GIG_464,37182.01,5.54,0.6552,40,0
GIG_465,39020.94,13.5,0.6025,54,1
GIG_466,13696.64,11.76,0.4583,114,0
GIG_467,16488.6,24.32,0.7654,13,1
GIG_468,43009.96,21.29,0.6732,62,0
GIG_469,8000.0,18.69,0.388,73,0
GIG_470,37924.22,17.62,0.8129,117,0
GIG_471,31542.7,9.46,0.5832,74,0
GIG_472,40705.29,19.34,0.8736,85,0
GIG_473,13528.43,16.66,0.6205,113,0
GIG_474,16912.05,5.0,0.8113,116,0
GIG_475,16453.35,15.63,0.7037,29,1
GIG_476,21938.81,33.83,0.7271,79,1
GIG_477,9435.68,5.0,0.6437,65,0
GIG_478,11384.94,11.13,0.5801,42,0
GIG_479,29042.47,10.58,0.5329,20,1
GIG_480,15108.43,30.68,0.4483,51,1
GIG_481,13579.76,18.06,0.477,23,1
GIG_482,23315.75,11.23,0.9598,81,1
GIG_483,63503.01,8.06,0.7533,14,0
GIG_484,19550.24,20.02,0.5905,73,1
GIG_485,38733.07,24.5,0.6837,67,1
GIG_486,12112.25,29.96,0.6013,39,1
GIG_487,26858.47,6.23,0.5312,120,1
GIG_488,10943.32,10.81,0.5431,37,0
GIG_489,30179.15,12.71,0.7762,81,0
GIG_490,16291.26,32.6,0.7312,25,1
GIG_491,31234.54,15.12,0.7398,17,1
GIG_492,33140.98,10.64,0.5228,81,0
GIG_493,39691.02,19.54,0.5885,70,1
GIG_494,16333.86,24.51,0.62,77,0
GIG_495,17714.61,30.7,0.823,58,1
GIG_496,55147.8,12.83,0.6841,12,1
GIG_497,21759.61,8.46,0.4795,53,0
GIG_498,13166.0,22.37,0.4869,32,1
GIG_499,19521.06,16.06,0.5856,27,1
GIG_500,19134.35,5.0,0.5366,120,0
